name,gender,name_owner
LILA,F,null
JIMMIE,F,null
EULA,F,null
NOREEN,F,null
LUCINDA,F,null
EARNESTINE,F,null
KAYE,F,null
GAY,F,null
POLLY,F,null
MONA,F,null
CELIA,F,null
DARLA,F,null
FAY,F,null
GINGER,F,null
SADIE,F,null
MOLLY,F,null
NATALIE,F,null
TERRI,F,null
GWEN,F,null
MABEL,F,null
BLANCHE,F,null
LENORA,F,null
SHELIA,F,null
KRISTINE,F,null
OLGA,F,null
ADRIENNE,F,null
HOLLY,F,null
TINA,F,null
JAYNE,F,null
RUTHIE,F,null
JUDI,F,null
LYNETTE,F,null
LORENE,F,null
GRACIE,F,null
SHARYN,F,null
ROSEANN,F,null
ETTA,F,null
OPAL,F,null
INA,F,null
OLLIE,F,null
ADELE,F,null
NETTIE,F,null
ESTELLA,F,null
WINIFRED,F,null
ESSIE,F,null
DIANN,F,null
EARLENE,F,null
MELODY,F,null
ORA,F,null
JEWEL,F,null
JANETTE,F,null
JENNY,F,null
RENA,F,null
LUPE,F,null
MARILYNN,F,null
CATHLEEN,F,null
LEAH,F,null
ISABEL,F,null
BEVERLEY,F,null
DONA,F,null
WILLA,F,null
SHERRIE,F,null
JOSIE,F,null
LELA,F,null
PAM,F,null
DORTHY,F,null
MARGARITA,F,null
PEARLIE,F,null
KATHIE,F,null
LENORE,F,null
DEBBIE,F,null
ESTELLE,F,null
EARLINE,F,null
DELIA,F,null
JEANIE,F,null
ILENE,F,null
BERNADINE,F,null
THERESE,F,null
MARYLOU,F,null
LORA,F,null
